id,iso3,cntry,name,value,local_I,z_sim,p_raw,p_fdr,quadrant,cluster_raw,cluster_fdr,gistar_z,gistar_p_fdr,gistar_cluster
120010,CMR,Cameroon,Sud Ouest,0.421,-0.0009599568753853027,-0.013563393242953364,0.493,0.4968958333333333,High-Low,Not-Significant,Not-Significant,0.047713557570926976,0.49689583405424126,Not-Significant
124010,CAN,Canada,Newfoundland and Labrador,0.196,1.6205640370401002,1.7599113194067,0.033,0.08433333333333333,Low-Low,Low-Low,Not-Significant,-1.2600672490815503,0.08207678634816376,Not-Significant
124011,CAN,Canada,"Prince Edward Island, Yukon Territory, Northwest Territories, Nunavut",0.166,1.9079138509940692,3.0227463249040345,0.001,0.00929139072847682,Low-Low,Low-Low,Low-Low,-1.2941965690803594,0.009291391169794199,Cold-Spot
124012,CAN,Canada,Nova Scotia,0.19,1.7301037209663042,1.3007628219962373,0.107,0.19270988446726572,Low-Low,Not-Significant,Not-Significant,-1.3164128245512818,0.18829736489998666,Not-Significant
124013,CAN,Canada,New Brunswick,0.202,1.3766577052111122,1.9029901710131034,0.022,0.06364123711340205,Low-Low,Low-Low,Not-Significant,-1.128782058237075,0.061509393742755214,Not-Significant
124024,CAN,Canada,Quebec,0.251,0.9553461302875059,2.6085622783040696,0.004,0.02040727272727273,Low-Low,Low-Low,Low-Low,-1.00369488069427,0.02040727369656617,Cold-Spot
124035,CAN,Canada,Ontario,0.246,0.9366569218260007,1.6894279986306548,0.041,0.10038917975567191,Low-Low,Low-Low,Not-Significant,-0.9631260663560632,0.10021428848237111,Not-Significant
124046,CAN,Canada,Manitoba,0.197,1.4856987415658276,2.493296550133413,0.004,0.02040727272727273,Low-Low,Low-Low,Low-Low,-1.1642797707830062,0.02040727369656617,Cold-Spot
124047,CAN,Canada,Saskatchewan,0.192,1.6947074637189627,2.7747294982866406,0.001,0.00929139072847682,Low-Low,Low-Low,Low-Low,-1.2758440102130753,0.009291391169794199,Cold-Spot
124048,CAN,Canada,Alberta,0.224,1.4255788316855498,2.464103319520172,0.004,0.02040727272727273,Low-Low,Low-Low,Low-Low,-1.2379797834974153,0.02040727369656617,Cold-Spot
124059,CAN,Canada,British Columbia,0.234,1.2517673405765302,2.842691820632393,0.001,0.00929139072847682,Low-Low,Low-Low,Low-Low,-1.1647627328584609,0.009291391169794199,Cold-Spot
170005,COL,Colombia,Antioquia,0.362,-0.0004020277612248282,-0.015299461232469632,0.485,0.4909487734487734,Low-High,Not-Significant,Not-Significant,-0.025938158935937178,0.4923162469364676,Not-Significant
170008,COL,Colombia,Atlántico,0.261,-0.010704903582806258,-0.011072199933092048,0.499,0.49935592011412266,Low-High,Not-Significant,Not-Significant,-0.28416188194579434,0.49777395466878177,Not-Significant
170011,COL,Colombia,"Bogotá D.C., Cundinamarca",0.294,0.15325864013545268,0.4993786807580059,0.302,0.3766275555555555,Low-Low,Not-Significant,Not-Significant,-0.30444628911489785,0.37629305559407333,Not-Significant
170013,COL,Colombia,"Bolívar, Sucre",0.392,-0.0022740625571153078,-0.5494352477675251,0.289,0.3685416666666666,High-Low,Not-Significant,Not-Significant,-0.21316645685393198,0.36854165606200695,Not-Significant
170015,COL,Colombia,"Boyacá, Casanare",0.369,0.06158348050922273,1.2107635347076582,0.116,0.20343500000000003,Low-Low,Not-Significant,Not-Significant,-0.3927961514514373,0.20292767495883077,Not-Significant
170018,COL,Colombia,Caquetá,0.374,-0.003894613638523512,-0.09589744770492549,0.461,0.47627614138438884,Low-High,Not-Significant,Not-Significant,0.00996202200620595,0.47662711396055707,Not-Significant
170019,COL,Colombia,Cauca,0.45,0.0243131404869126,0.15734062667755455,0.434,0.4633957382039574,High-High,Not-Significant,Not-Significant,0.10929122219141896,0.4634054695102602,Not-Significant
170023,COL,Colombia,Córdoba,0.395,-0.002694228519690156,-0.1353526425179755,0.446,0.46836676646706593,High-Low,Not-Significant,Not-Significant,-0.05201811101049903,0.46661573635058456,Not-Significant
170027,COL,Colombia,Chocó,0.471,-0.11187654814308784,-0.43448435626462073,0.336,0.40222525597269626,High-Low,Not-Significant,Not-Significant,-0.08131781025475991,0.4018823475229974,Not-Significant
170041,COL,Colombia,Huila,0.393,-0.003887932342923995,-0.5305653899567343,0.292,0.3704122965641953,High-Low,Not-Significant,Not-Significant,-0.20527807628816988,0.3697436768763332,Not-Significant
170044,COL,Colombia,La Guajira,0.333,0.1454771190279158,0.5359239666045732,0.311,0.383420913884007,Low-Low,Not-Significant,Not-Significant,-0.3788224487349438,0.3834209009507419,Not-Significant
170050,COL,Colombia,Meta,0.284,0.1632593494832365,0.4814415904413822,0.316,0.3865283347863993,Low-Low,Not-Significant,Not-Significant,-0.3089539351524763,0.3853051409372165,Not-Significant
170052,COL,Colombia,Nariño,0.453,0.06918996307692186,0.38413101425443025,0.34,0.4039119390347164,High-High,Not-Significant,Not-Significant,0.2071715361502679,0.40391194328325064,Not-Significant
170054,COL,Colombia,"Cesar, Norte De Santander, Magdalena",0.393,-0.007752857976466914,-1.3563474316480983,0.097,0.18267248322147653,High-Low,Not-Significant,Not-Significant,-0.44042694458185067,0.18242761932173618,Not-Significant
170066,COL,Colombia,"Caldas, Quindío, Risaralda",0.367,0.029976677245511753,0.4400970864983093,0.332,0.39948198970840487,Low-Low,Not-Significant,Not-Significant,-0.18338379553421724,0.3994819745038018,Not-Significant
170068,COL,Colombia,Santander,0.352,0.020670753371234463,0.13718337953325718,0.444,0.46731582895723933,Low-Low,Not-Significant,Not-Significant,-0.11557592014035602,0.46661573635058456,Not-Significant
170073,COL,Colombia,Tolima,0.367,0.029110715845253175,0.3813312247160125,0.354,0.414922305764411,Low-Low,Not-Significant,Not-Significant,-0.17823220006269863,0.4145759624461698,Not-Significant
170076,COL,Colombia,Valle Del Cauca,0.315,-0.07973281769620831,-0.3216013043495034,0.368,0.42424322103533274,Low-High,Not-Significant,Not-Significant,0.022358048609547362,0.42424322185990454,Not-Significant
170081,COL,Colombia,Arauca,0.288,0.29100684644162894,0.7426602082010084,0.233,0.3195493646138807,Low-Low,Not-Significant,Not-Significant,-0.48813286514622356,0.3195493582377569,Not-Significant
170086,COL,Colombia,Putumayo,0.496,0.07283918262023933,0.25825096011181864,0.4,0.44398734177215193,High-High,Not-Significant,Not-Significant,0.18946292671692366,0.44398734838807885,Not-Significant
170088,COL,Colombia,Archipiélago De San Andrés Y Providencia,0.162,-0.0,,,,Low-Low,Isolate (no neighbours),Isolate (no neighbours),,,Isolate (no neighbours)
170095,COL,Colombia,"Amazonas, Guaviare, Vaupés, Vichada, Guainía",0.356,0.08844986291373934,1.083355560440457,0.143,0.23274825986078884,Low-Low,Not-Significant,Not-Significant,-0.36304568760341843,0.23274827072625923,Not-Significant
188001,CRI,Costa Rica,San José,0.297,0.24695442813900334,0.845841399159359,0.203,0.2873955600403633,Low-Low,Not-Significant,Not-Significant,-0.43066037816709746,0.28710583851282157,Not-Significant
188002,CRI,Costa Rica,Alajuela,0.336,0.07419517286759686,0.4769145295121588,0.317,0.387076588337685,Low-Low,Not-Significant,Not-Significant,-0.22491853402333326,0.3858555443033745,Not-Significant
188003,CRI,Costa Rica,Cartago,0.325,0.1896596893046706,0.6171686648505101,0.29,0.3685416666666666,Low-Low,Not-Significant,Not-Significant,-0.43291420118588625,0.36854165606200695,Not-Significant
188004,CRI,Costa Rica,Heredia,0.283,0.13625310557070908,0.35209585638964463,0.373,0.4271991836734694,Low-Low,Not-Significant,Not-Significant,-0.2954309970397401,0.42719917903141097,Not-Significant
188005,CRI,Costa Rica,Guanacaste,0.335,0.039081973336751064,0.1917125236753573,0.436,0.4641183611532625,Low-Low,Not-Significant,Not-Significant,-0.17203418676102772,0.4634054695102602,Not-Significant
188006,CRI,Costa Rica,Puntarenas,0.363,0.05123196291055122,0.5884822903114356,0.279,0.3584587912087912,Low-Low,Not-Significant,Not-Significant,-0.2593698287391119,0.35813085062724126,Not-Significant
188007,CRI,Costa Rica,Limón,0.358,0.04733793884929513,0.5096653378070165,0.312,0.3836424189307625,Low-Low,Not-Significant,Not-Significant,-0.21525929251423617,0.3836424268462175,Not-Significant
204001,BEN,Benin,Alibori,0.602,1.560431998813618,1.9181853067549242,0.028,0.07496946564885495,High-High,High-High,Not-Significant,1.1768788899843532,0.07525670730376838,Not-Significant
204002,BEN,Benin,Atacora,0.535,1.0403861613040755,2.5870716755037475,0.004,0.02040727272727273,High-High,High-High,High-High,1.0539650417810953,0.02040727369656617,Hot-Spot
204003,BEN,Benin,Atlantique,0.42,0.07726370742946055,0.8815842105160034,0.187,0.2732927083333333,High-High,Not-Significant,Not-Significant,0.3581776784091495,0.27268339204626274,Not-Significant
204004,BEN,Benin,Borgou,0.526,0.816323623750152,1.7638727082476644,0.034,0.08641666666666667,High-High,High-High,Not-Significant,0.8972921445035437,0.08641667136301596,Not-Significant
204005,BEN,Benin,Collines,0.509,0.5886356269185536,1.6479181571515937,0.063,0.13767757009345793,High-High,Not-Significant,Not-Significant,0.7469621491502992,0.13767757230783548,Not-Significant
204006,BEN,Benin,Couffo,0.485,0.4183832869542074,1.4709883063217517,0.085,0.16725806451612904,High-High,Not-Significant,Not-Significant,0.6534284938705441,0.16725806627542741,Not-Significant
204007,BEN,Benin,Donga,0.445,0.34810829894167084,1.8723283651119094,0.024,0.0683002028397566,High-High,High-High,Not-Significant,0.8323820415624138,0.06816194391232512,Not-Significant
204008,BEN,Benin,Littoral,0.323,-0.0952737962077406,-0.2911055890983104,0.394,0.44046374501992036,Low-High,Not-Significant,Not-Significant,-0.013703119691081218,0.4404637380900136,Not-Significant
