iso3,wb_gini,wb_lower_secondary_completion,wb_remittances_pct_gdp,wb_labor_productivity,wb_bribery_incidence,wb_wgi_rule_of_law
LCA,0.5267,0.1698,0.068,0.6026,0.051,0.3993
LIE,,0.0554,,,,0.1545
LKA,0.3933,0.0808,0.1941,0.6876,0.4372,0.5515
LSO,0.5533,0.5495,0.5984,0.936,0.1212,0.5813
LTU,0.3556,0.0132,0.0354,0.2148,0.0035,0.2252
LUX,0.3022,0.001,0.0766,0.0,0.0,0.1476
LVA,0.3111,0.067,0.0875,0.3459,0.0007,0.2817
MAR,0.4333,0.2282,0.2226,0.7441,0.4937,0.5736
MCO,,0.0,,,,0.2309
MDA,0.1511,0.0,0.3011,0.765,0.1185,0.5323
MDG,0.3733,0.6906,0.0666,0.9789,0.3198,0.6765
MDV,0.2067,0.0542,0.0023,0.6081,0.0431,0.4911
MEX,0.5022,0.134,0.1041,0.597,0.2636,0.7308
MHL,0.3444,0.0,0.6589,,,0.3329
MKD,0.3,0.0702,0.0772,0.4719,0.1593,0.545
MLI,0.3489,0.7193,0.114,0.9367,0.0665,0.7189
MLT,0.2622,0.0266,0.0018,0.0307,0.0495,0.3546
MMR,0.2378,0.262,0.0972,0.897,0.4889,0.8623
MNE,0.3178,0.0298,0.2955,0.435,0.1333,0.4637
MNG,0.2533,0.1089,0.0634,0.6411,0.2681,0.52
MOZ,0.6578,0.7391,0.0335,0.9757,0.3683,0.739
MRT,0.2667,0.5024,0.0248,0.7471,0.4907,0.6727
MUS,0.3733,0.165,0.0549,0.5072,0.0955,0.3723
MWI,0.4111,0.7562,0.0472,0.9678,0.4339,0.5293
MYS,0.46,0.1853,0.0109,0.4291,0.0634,0.431
NAM,0.8689,0.2809,0.0206,0.7181,0.2296,0.4344
NER,0.2867,0.8811,0.0935,0.9707,0.0476,0.6891
NGA,0.3089,0.5577,0.2412,0.8641,0.3732,0.7014
NIC,0.5822,0.3534,0.761,0.8624,0.108,0.8239
NLD,0.1267,,0.0111,0.0,0.0046,0.1586
NOR,0.1444,0.0088,0.0056,0.0,,0.1101
NPL,0.2222,0.0175,0.7493,0.8379,0.1028,0.5607
NRU,0.2756,0.0205,0.0393,,,0.4496
NZL,,,0.0047,0.2525,0.0663,0.1665
OMN,,0.047,0.001,0.3856,,0.4101
PAK,0.3,0.4418,0.2685,0.8587,0.265,0.7034
PAN,0.66,0.2116,0.0176,0.3349,0.1177,0.5527
PER,0.4467,0.0803,0.0487,0.7554,0.1266,0.6012
PHL,0.4289,0.1525,0.2493,0.805,0.1389,0.6148
PLW,,0.0826,0.0229,,,0.2658
PNG,0.4867,0.5812,0.0003,0.8994,0.3231,0.6143
POL,0.1889,0.45,0.0271,0.2242,0.1336,0.3846
PRK,,,,,,0.8051
PRT,0.3089,0.0,0.0168,0.2613,0.1279,0.2856
PRY,0.5378,0.2447,0.073,0.7168,0.268,0.6167
PSE,0.3644,0.0879,0.1533,0.7744,0.0178,0.6979
QAT,0.3356,0.0749,0.0188,0.0,0.1632,0.3821
ROU,0.2178,0.2202,0.0711,0.1758,0.0444,0.4258
RUS,0.2889,0.0298,0.0025,0.2911,0.4466,0.7313
