iso3,unhcr_refugees_by_coa,unhcr_refugees_by_coo,unhcr_idps_by_country,unhcr_asylum_seekers_by_coa,unhcr_stateless_by_country
MOZ,0.0031,0.0001,0.2666,0.0111,0.0
MRT,0.6591,0.1483,0.0,0.0254,0.0
MUS,0.0004,0.0044,0.0,0.0025,0.0
MWI,0.0325,0.0005,0.0,0.0216,0.0
MYS,0.0812,0.0011,0.0,0.0322,0.0721
NAM,0.0352,0.004,0.0,0.0084,0.0977
NER,0.2899,0.0229,0.34,0.0308,0.0
NGA,0.0107,0.0413,0.3073,0.0013,0.0
NIC,0.0009,0.0908,0.0,0.0004,0.0
NLD,0.2923,0.0001,0.0,0.0521,0.004
NOR,0.4393,0.0,0.0,0.0229,0.0058
NPL,0.0132,0.0055,0.0,0.0002,0.0003
NRU,0.0084,0.0084,0.0,0.1523,0.0
NZL,0.0078,0.0002,0.0,0.0156,0.0001
OMN,0.0011,0.0005,0.0,0.0016,0.0
PAK,0.1232,0.007,0.0,0.0176,0.0
PAN,0.0118,0.0015,0.0,0.0361,0.0043
PER,0.004,0.0038,0.0,0.3204,0.0
PHL,0.0002,0.0001,0.016,0.0003,0.0
PLW,0.0057,0.0057,0.0,0.0,0.0
PNG,0.0146,0.0011,0.1588,0.0059,0.0
POL,0.5542,0.0008,0.0,0.0072,0.0008
PRK,0.0,0.0002,0.0,0.0,0.0
PRT,0.1244,0.0001,0.0,0.0055,0.0001
PRY,0.0185,0.0005,0.0,0.0041,0.0
PSE,,0.1758,,,
QAT,0.0014,0.0005,0.0,0.0021,0.0084
ROU,0.2026,0.0022,0.0,0.0001,0.0003
RUS,0.0016,0.0136,0.0,0.0002,0.0124
RWA,0.1617,0.3458,0.0,0.0211,0.0203
SAU,0.0002,0.0014,0.0,0.0022,0.0397
SDN,0.3301,0.9777,1.0,0.0194,0.0
SEN,0.0128,0.014,0.0,0.0016,0.0
SGP,0.0,0.0001,0.0,0.0,0.0037
SLB,0.0,0.0013,0.0003,0.0,0.0
SLE,0.0,0.0193,0.0,0.0,0.0
SLV,0.0004,0.2302,0.2256,0.0009,0.0
SMR,,,,,
SOM,0.021,0.951,1.0,0.0258,0.0
SRB,0.1196,0.0931,0.6368,0.0006,0.005
SSD,0.9728,1.0,1.0,0.0076,0.0301
STP,,0.0007,,,
SUR,0.0008,0.0014,0.0,0.1029,0.0
SVK,0.5386,0.0023,0.0,0.0003,0.0002
SVN,0.1117,0.0002,0.0,0.0065,0.0003
SWE,0.2937,0.0002,0.0,0.0094,0.0122
SWZ,0.0226,0.0026,0.0,0.0526,0.0
SYC,,0.0016,,,
SYR,0.0089,1.0,1.0,0.0036,0.1297
TCD,1.0,0.0145,0.2224,0.0087,0.0
TGO,0.1082,0.0264,0.0214,0.0075,0.0
THA,0.0236,0.0001,0.0,0.0008,0.1708
TJK,0.0223,0.0079,0.0,0.0069,0.0077
TKM,0.0088,0.0073,0.0,0.0,0.0
TLS,0.0,0.0002,0.0,0.0,0.0
TON,,0.0117,,,
TTO,0.0298,0.0071,0.0,0.3367,0.0
TUN,0.0043,0.0058,0.0,0.0133,0.0
TUR,0.6269,0.034,0.0,0.031,0.0001
TUV,,0.0,,,
TZA,0.0514,0.0004,0.0,0.0126,0.0
UGA,0.7548,0.0046,0.0,0.016,0.0041
UKR,0.0013,1.0,1.0,0.0003,0.0061
URY,0.0085,0.0007,0.0,0.1887,0.0
USA,0.0256,0.0001,0.0,0.1872,0.0
UZB,0.0044,0.0029,0.0,0.0,0.011
VAT,,,,,
VCT,0.0,0.0402,0.0,0.0,0.0
VEN,0.0136,0.2784,0.0,0.0011,0.0
VNM,0.0,0.0039,0.0,0.0,0.0041
VUT,0.0,0.001,0.0,0.0003,0.0
WSM,0.0005,0.0012,0.0,0.0,0.0
YEM,0.0231,0.0266,1.0,0.0069,0.0
ZAF,0.0215,0.0004,0.0,0.0308,0.0
ZMB,0.0769,0.0003,0.0,0.0105,0.0
ZWE,0.0112,0.0091,0.0,0.0162,0.0
