iso3,v2xcl_dmove,v2xcl_slave,v2xnp_client,v2x_rule
TCD,0.591,0.612,0.9,0.984
TGO,0.182,0.151,0.664,0.793
THA,0.421,0.776,0.578,0.584
TJK,0.514,0.328,0.719,0.961
TKM,0.848,0.676,0.846,0.947
TLS,0.19,0.202,0.412,0.283
TON,,,,
TTO,0.28,0.272,0.309,0.114
TUN,0.186,0.146,0.298,0.404
TUR,0.342,0.324,0.706,0.843
TUV,,,,
TZA,0.227,0.311,0.454,0.288
UGA,0.534,0.523,0.733,0.786
UKR,0.333,0.265,0.351,0.613
URY,0.146,0.135,0.085,0.055
USA,0.231,0.184,0.105,0.076
UZB,0.592,0.664,0.636,0.853
VAT,,,,
VCT,,,,
VEN,0.266,0.229,0.898,0.991
VNM,0.217,0.202,0.298,0.681
VUT,0.283,0.211,0.421,0.178
WSM,,,,
YEM,0.924,0.582,0.879,0.935
ZAF,0.2,0.316,0.259,0.306
ZMB,0.111,0.438,0.488,0.346
ZWE,0.323,0.313,0.703,0.823
