iso3,gs_lfp_gender_gap,gs_gender_inequality_index,gs_mobility_constraint,gs_sex_sector_channel_share
SEN,0.5499,0.49,0.25,0.7358
SGP,0.2361,0.031,0.125,0.2289
SLB,0.077,0.478,0.0,0.8005
SLE,0.0714,0.566,0.125,0.9413
SLV,0.5643,0.362,0.0,0.6904
SMR,,,0.0,0.5857
SOM,0.5308,0.675,0.5,0.6147
SRB,0.2779,0.117,0.0,0.6696
SSD,0.1249,,0.0,0.984
STP,0.0241,0.492,0.0,0.6614
SUR,0.3591,0.391,0.0,0.5276
SVK,0.219,0.176,0.0,0.6732
SVN,0.2103,0.042,0.0,0.6188
SWE,0.1219,0.007,0.0,0.3766
SWZ,0.1102,0.484,0.25,0.6259
SYC,,,0.0,0.1428
SYR,0.9744,0.49,0.625,0.6574
TCD,0.4883,0.67,0.25,1.0
TGO,0.0481,0.564,0.25,0.8224
THA,0.3204,0.288,0.125,0.8035
TJK,0.6777,0.258,0.0,0.872
TKM,0.1572,,,
TLS,0.2114,0.394,0.0,0.6628
TON,0.3326,0.444,0.25,0.7269
TTO,0.4067,0.262,0.0,0.459
TUN,0.7673,0.238,0.125,0.6537
TUR,0.6948,0.227,0.0,0.6051
TUV,,,,0.472
TZA,0.1405,0.504,0.125,1.0
UGA,0.1809,0.524,0.0,1.0
UKR,0.3019,,0.0,0.6365
URY,0.3229,0.218,0.0,0.5152
USA,0.2143,0.169,0.0,0.3963
UZB,0.6551,0.291,0.0,0.312
VAT,,,,
VCT,0.3413,,0.125,0.6377
VEN,0.6085,0.512,0.0,0.5002
VNM,0.1755,0.299,0.0,0.8478
VUT,0.1926,0.556,0.25,0.8621
WSM,0.4753,0.416,0.0,0.7271
YEM,1.0,0.838,0.875,0.7335
ZAF,0.2372,0.388,0.0,0.4297
ZMB,0.224,0.524,0.0,0.9633
ZWE,0.2422,0.519,0.0,0.8675
