iso3,lnr_birth_registration_incompleteness,lnr_statelessness_prevalence,lnr_domain_raw,lnr_domain_low_confidence
THA,0.002,0.1708,0.0864,0
TJK,0.042,0.0077,0.0249,0
TKM,0.001,0.0,0.0005,0
TLS,0.396,0.0,0.198,0
TON,0.023,,0.023,1
TTO,0.035,0.0,0.0175,0
TUN,0.001,0.0,0.0005,0
TUR,0.016,0.0001,0.008,0
TUV,0.128,,0.128,1
TZA,0.736,0.0,0.368,0
UGA,0.678,0.0041,0.341,0
UKR,0.002,0.0061,0.0041,0
URY,0.002,0.0,0.001,0
USA,0.0,0.0,0.0,0
UZB,0.001,0.011,0.006,0
VAT,,,,1
VCT,,0.0,0.0,1
VEN,0.187,0.0,0.0935,0
VNM,0.039,0.0041,0.0216,0
VUT,0.566,0.0,0.283,0
WSM,0.331,0.0,0.1655,0
YEM,0.693,0.0,0.3465,0
ZAF,0.114,0.0,0.057,0
ZMB,0.86,0.0,0.43,0
ZWE,0.513,0.0,0.2565,0
