indicator,source,series_id,countries,year_min,year_max,license,direction,anchor,coverage_pct,flags
findex_account_exclusion,World Bank Global Findex Database 2025,GlobalFindexDatabase2025.csv:account_t_d(1-x),158,2011,2024,CC BY 3.0 IGO (World Bank open data; attribution required),high_risk,"[0.0, 1.0] share of adults with no financial account (0-1)",81.0,"VINTAGE-MIX: 21 country values fall back to a pre-2024 wave (latest available per country, 2011-2024); the rest are 2024 -- re-examine staleness at data-stage review"
findex_borrow_prevalence,World Bank Global Findex Database 2025,GlobalFindexDatabase2025.csv:borrow_any_t_d,115,2011,2024,CC BY 3.0 IGO (World Bank open data; attribution required),high_risk,"[0.0, 1.0] share of adults who borrowed any money in the past year (0-1)",59.0,"VINTAGE-MIX: 18 country values fall back to a pre-2024 wave (latest available per country, 2011-2024); the rest are 2024 -- re-examine staleness at data-stage review; PROXY: standing borrowing prevalence, NOT a debt-service-distress (DSTI) measure -- Findex has no over-indebtedness series; low-confidence direction, surfaced for review"
findex_informal_borrowing,World Bank Global Findex Database 2025,GlobalFindexDatabase2025.csv:fin22b+fin22c,115,2011,2024,CC BY 3.0 IGO (World Bank open data; attribution required),high_risk,"[0.0, 1.0] share of adults borrowing from informal sources (0-1)",59.0,"VINTAGE-MIX: 18 country values fall back to a pre-2024 wave (latest available per country, 2011-2024); the rest are 2024 -- re-examine staleness at data-stage review; UPPER-BOUND: fin22b + fin22c summed and clamped to [0,1] (a person can use both informal sources) -- re-examine ceiling vs observed distribution at data-stage review"
