indicator,source,series_id,countries,year_min,year_max,license,direction,anchor,coverage_pct,flags
ILR_CBCT_NOC_RT_A,"ILOSTAT (ILO, rplumber API)",ILR_CBCT_NOC_RT_A,99,2008,2020,CC BY 4.0 (ILO open data),low_risk,"[0.0, 100.0] % of employees covered by collective agreements",50.8,
ILR_TUMT_NOC_RT_A,"ILOSTAT (ILO, rplumber API)",ILR_TUMT_NOC_RT_A,135,2007,2020,CC BY 4.0 (ILO open data),low_risk,"[0.0, 100.0] % of employees who are trade union members",69.2,
LAI_INDE_NOC_RT_A,"ILOSTAT (ILO, rplumber API)",LAI_INDE_NOC_RT_A,83,2010,2024,CC BY 4.0 (ILO open data),low_risk,"[0.0, 3.0] labour inspectors per 10,000 employed persons",42.6,BELOW-COVERAGE-FLOOR (83/195 = 43%; floor 50%/min 2) -- low-confidence
SDG_F881_SEX_MIG_RT_A,"ILOSTAT (ILO, rplumber API)",SDG_F881_SEX_MIG_RT_A,92,2000,2024,CC BY 4.0 (ILO open data),high_risk,"[0.0, 20.0] fatal occupational injuries per 100,000 workers",47.2,BELOW-COVERAGE-FLOOR (92/195 = 47%; floor 50%/min 2) -- low-confidence
