iso3,table,signal,value,pi80_lo,pi80_hi,status,provenance
NZL,recruitment_econprecarity,ep_informal_employment_share,0.1485,0.0,0.3975,modeled estimate,"LightGBM quantile gap-fill (CQR PI80), seed 20260610; documented design decision; fenced modeled estimate — never overwrites an observed value; an observed ILO SDG 8.3.1 value supersedes automatically"
SGP,recruitment_econprecarity,ep_informal_employment_share,0.1245,0.0135,0.3631,modeled estimate,"LightGBM quantile gap-fill (CQR PI80), seed 20260610; documented design decision; fenced modeled estimate — never overwrites an observed value; an observed ILO SDG 8.3.1 value supersedes automatically"
