GEOLEVEL1,gdis_events,gdis_years
124012,9,7
124013,10,9
124024,30,20
124035,30,20
124046,9,9
124047,6,6
124048,13,12
124059,24,11
152014,14,9
152021,11,10
152022,1,1
152023,2,2
152031,9,6
152032,4,3
152033,2,2
152041,4,4
152042,1,1
152043,13,8
152051,13,9
152056,1,1
152061,9,6
152063,3,1
152071,10,8
152072,1,1
152073,1,1
152074,1,1
152081,5,4
152082,3,3
152083,7,6
152091,33,12
152092,7,4
152101,8,8
152102,4,3
152103,1,1
152112,9,6
152121,3,3
152131,6,6
152133,15,14
152135,3,3
152141,13,8
152151,9,8
152163,4,4
156011,17,13
156012,6,6
156013,39,21
156014,39,23
156015,33,19
156021,36,23
156022,30,18
156023,31,21
156031,21,16
156032,62,31
156033,92,32
156034,70,27
156035,121,36
156036,100,34
156037,51,28
156041,53,22
156042,101,30
156043,120,33
156044,202,40
156045,93,27
156051,243,40
156052,113,26
156053,141,35
156054,19,15
156061,61,22
156062,5,3
156063,75,31
156064,10,8
156065,54,22
170005,47,25
170008,9,8
170011,24,20
170013,38,19
170015,23,15
170018,8,7
170019,27,15
170023,42,14
170027,26,19
170041,28,13
170044,9,7
170050,10,8
170052,53,21
170054,43,20
170066,48,20
170068,22,12
170073,26,16
170076,35,22
170081,6,6
170086,13,10
170088,2,2
170095,14,11
188001,27,17
188002,25,15
188003,26,18
188004,20,13
188005,32,13
188006,31,16
188007,28,13
192021,28,17
192023,23,15
192025,16,13
192026,14,12
192027,16,13
192028,16,14
192029,15,13
192030,18,13
192031,18,12
192032,23,14
192033,19,14
192034,19,15
192035,25,18
192040,9,9
204001,8,5
204002,4,4
204003,8,7
204004,6,6
204005,6,4
204006,2,2
204007,1,1
204008,5,5
204009,10,8
204010,12,8
204011,2,2
204012,18,10
214001,17,10
214002,9,8
214003,17,10
214005,6,5
214006,14,8
214007,3,3
214008,19,10
214009,2,2
214011,11,6
214013,14,5
214014,12,8
214015,11,8
214016,4,4
214017,12,6
214018,29,11
214019,14,6
214020,7,6
214021,19,8
214022,5,5
214024,10,8
214026,6,5
214027,9,6
214088,4,4
218001,7,7
218002,8,7
218004,5,5
218005,14,10
218006,19,13
218007,17,11
218009,122,28
218010,8,8
218011,15,6
218014,5,5
218016,6,6
218018,30,11
